** Structure <2095004>, 19 tags, length=96084, data length=96082, refs=2:
      18.72062        97.89184          5.6982E+00
      19.21965        98.44135          5.6400E+00
      19.71868        98.95367          5.5828E+00
      20.21771        99.43125          5.5265E+00
      20.71673        99.87637          5.4710E+00
      21.21576       100.29115          5.4164E+00
      21.71479       100.67754          5.3626E+00
      22.21381       101.03737          5.3096E+00
      22.71284       101.37233          5.2573E+00
      23.21187       101.68398          5.2057E+00
      23.71090       101.97381          5.1549E+00
      24.20992       102.24316          5.1047E+00
      24.70895       102.49332          5.0551E+00
      25.20798       102.72547          5.0062E+00
      25.70700       102.94072          4.9580E+00
      26.20603       103.14011          4.9103E+00
      26.70506       103.32460          4.8632E+00
      27.20409       103.49508          4.8167E+00
      27.70311       103.65242          4.7707E+00
      28.20214       103.79739          4.7253E+00
      28.70117       103.93073          4.6804E+00
      29.20019       104.05314          4.6360E+00
      29.69922       104.16526          4.5921E+00
      30.19825       104.26770          4.5487E+00
      30.69728       104.36101          4.5058E+00
      31.19630       104.44575          4.4634E+00
      31.69533       104.52239          4.4214E+00
      32.19436       104.59141          4.3799E+00
      32.69338       104.65325          4.3389E+00
      33.19241       104.70831          4.2983E+00
      33.69144       104.75698          4.2581E+00
      34.19047       104.79963          4.2183E+00
      34.68949       104.83658          4.1790E+00
      35.18852       104.86816          4.1401E+00
      35.68755       104.89467          4.1016E+00
      36.18657       104.91639          4.0634E+00
      36.68560       104.93357          4.0257E+00
      37.18463       104.94648          3.9884E+00
      37.68366       104.95533          3.9514E+00
      38.18268       104.96035          3.9148E+00
      38.68171       104.96175          3.8786E+00
      39.18074       104.95971          3.8427E+00
      39.67976       104.95442          3.8073E+00
      40.17879       104.94606          3.7721E+00
      40.67782       104.93477          3.7373E+00
      41.17685       104.92071          3.7029E+00
      41.67587       104.90403          3.6688E+00
      42.17490       104.88485          3.6350E+00
      42.67393       104.86331          3.6016E+00
      43.17295       104.83952          3.5684E+00
      43.67198       104.81360          3.5356E+00
      44.17101       104.78565          3.5032E+00
      44.67004       104.75576          3.4710E+00
      45.16906       104.72404          3.4392E+00
      45.66809       104.69056          3.4076E+00
      46.16712       104.65542          3.3764E+00
      46.66614       104.61869          3.3455E+00
      47.16517       104.58045          3.3148E+00
      47.66420       104.54076          3.2845E+00
      48.16323       104.49969          3.2545E+00
      48.66225       104.45730          3.2247E+00
      49.16128       104.41365          3.1952E+00
      49.66031       104.36880          3.1660E+00
      50.15933       104.32279          3.1371E+00
      50.65836       104.27568          3.1084E+00
      51.15739       104.22752          3.0801E+00
      51.65642       104.17833          3.0520E+00
      52.15544       104.12818          3.0241E+00
      52.65447       104.07709          2.9965E+00
      53.15350       104.02510          2.9692E+00
      53.65252       103.97225          2.9422E+00
      54.15155       103.91857          2.9154E+00
      54.65058       103.86409          2.8888E+00
      55.14961       103.80884          2.8625E+00
      55.64863       103.75285          2.8364E+00
      56.14766       103.69615          2.8106E+00
      56.64669       103.63875          2.7851E+00
      57.14572       103.58069          2.7597E+00
      57.64474       103.52198          2.7346E+00
      58.14377       103.46265          2.7098E+00
      58.64280       103.40271          2.6851E+00
      59.14182       103.34219          2.6607E+00
      59.64085       103.28110          2.6365E+00
      60.13988       103.21946          2.6126E+00
      60.63891       103.15729          2.5889E+00
      61.13793       103.09459          2.5653E+00
      61.63696       103.03140          2.5421E+00
      62.13599       102.96771          2.5190E+00
      62.63501       102.90354          2.4961E+00
      63.13404       102.83891          2.4735E+00
      63.63307       102.77383          2.4510E+00
      64.13210       102.70830          2.4288E+00
      64.63112       102.64235          2.4068E+00
      65.13015       102.57597          2.3849E+00
      65.62918       102.50918          2.3633E+00
      66.12820       102.44199          2.3419E+00
      66.62723       102.37440          2.3207E+00
      67.12626       102.30644          2.2996E+00
      67.62529       102.23809          2.2788E+00
      68.12431       102.16938          2.2581E+00
      68.62334       102.10030          2.2377E+00
      69.12237       102.03087          2.2174E+00
      69.62139       101.96110          2.1973E+00
